idx,transformer_model,n_neighbors,n_components,min_dist,min_cluster_size,cluster_selection_method,ngram_range,coherence,topic_diversity,silhouette_score,n_topics,n_outlier_pubs
139,BAAI/bge-large-en-v1.5,15,9,0,8,eom,"(1, 3)",0.799131139,0.88,0.032715753,5,1
140,BAAI/bge-large-en-v1.5,5,20,0.1,7,eom,"(1, 3)",0.798061676,0.842857143,0.027554022,7,4
141,BAAI/bge-large-en-v1.5,5,20,0.1,5,eom,"(1, 3)",0.798061676,0.842857143,0.027554022,7,4
142,BAAI/bge-large-en-v1.5,5,13,0.1,5,eom,"(1, 3)",0.798061676,0.842857143,0.027554022,7,4
143,BAAI/bge-large-en-v1.5,5,20,0.1,6,eom,"(1, 3)",0.798061676,0.842857143,0.027554022,7,4
144,BAAI/bge-large-en-v1.5,15,5,0.05,9,eom,"(1, 2)",0.797853776,1,0.10918494,3,9
145,BAAI/bge-large-en-v1.5,5,20,0.1,7,eom,"(1, 4)",0.797673365,0.842857143,0.027554022,7,4
146,BAAI/bge-large-en-v1.5,5,13,0.1,5,eom,"(1, 4)",0.797673365,0.842857143,0.027554022,7,4
147,BAAI/bge-large-en-v1.5,5,20,0.1,6,eom,"(1, 4)",0.797673365,0.842857143,0.027554022,7,4
148,BAAI/bge-large-en-v1.5,5,20,0.1,5,eom,"(1, 4)",0.797673365,0.842857143,0.027554022,7,4
149,BAAI/bge-large-en-v1.5,17,9,0.1,6,eom,"(1, 4)",0.797207757,0.74,0.046834618,10,60
150,BAAI/bge-large-en-v1.5,15,13,0,9,eom,"(1, 2)",0.797097152,1,0.10705601,3,2
151,BAAI/bge-large-en-v1.5,17,13,0,13,eom,"(1, 2)",0.797097152,1,0.10705601,3,2
152,BAAI/bge-large-en-v1.5,17,5,0,17,eom,"(1, 2)",0.797097152,1,0.10705601,3,2
153,BAAI/bge-large-en-v1.5,13,7,0.05,9,eom,"(1, 2)",0.797097152,1,0.10705601,3,2
154,BAAI/bge-large-en-v1.5,15,9,0,17,eom,"(1, 2)",0.797097152,1,0.10705601,3,2
155,BAAI/bge-large-en-v1.5,15,13,0,10,eom,"(1, 2)",0.797097152,1,0.10705601,3,2
156,BAAI/bge-large-en-v1.5,15,13,0,13,eom,"(1, 2)",0.797097152,1,0.10705601,3,2
157,BAAI/bge-large-en-v1.5,17,17,0,17,eom,"(1, 4)",0.796675515,1,0.10992196,3,14
158,BAAI/bge-large-en-v1.5,17,9,0.05,17,eom,"(1, 4)",0.796675515,1,0.110102035,3,15
159,BAAI/bge-large-en-v1.5,9,9,0.05,7,eom,"(1, 2)",0.79648442,0.92,0.034372393,5,8
160,BAAI/bge-large-en-v1.5,9,15,0.05,10,eom,"(1, 3)",0.796186329,0.933333333,0.10442222,3,1
161,BAAI/bge-large-en-v1.5,9,15,0,13,eom,"(1, 3)",0.794856874,0.966666667,0.10211704,3,1
162,BAAI/bge-large-en-v1.5,20,5,0,17,eom,"(1, 4)",0.794411876,1,0.1096594,3,6
163,BAAI/bge-large-en-v1.5,20,5,0,15,eom,"(1, 4)",0.794411876,1,0.1096594,3,6
164,BAAI/bge-large-en-v1.5,20,15,0.05,6,eom,"(1, 4)",0.794151063,0.7,0.0661283,11,85
165,BAAI/bge-large-en-v1.5,15,7,0.05,7,eom,"(1, 4)",0.792588461,0.73,0.042636108,10,51
166,BAAI/bge-large-en-v1.5,15,15,0.05,7,eom,"(1, 3)",0.792039663,0.814285714,0.041373577,7,16
167,BAAI/bge-large-en-v1.5,13,13,0.1,8,eom,"(1, 3)",0.792014935,0.766666667,0.035317056,6,21
168,BAAI/bge-large-en-v1.5,17,7,0.1,9,eom,"(1, 4)",0.790510287,1,0.108877145,3,5
169,BAAI/bge-large-en-v1.5,15,9,0.05,6,eom,"(1, 2)",0.79028655,0.96,0.03337236,5,2
